filtre;APP_Libelle_activite_etablissement;APP_Libelle_etablissement;ods_adresse;Code_postal;Libelle_commune;Synthese_eval_sanit;geores;SIRET;Date_inspection;Numero_inspection;Agrement;ods_type_activite
Restaurant;Restaurant;RELAIS DES BASTIDES;LD LE BOURG;47290;Saint-Pastour;Très satisfaisant;44.488403, 0.600709;75052913300019;2019-03-22T01:00:00+01:00;19-048897-1;;Autres
Restaurant;Restaurant;MARKHAM THAI;11 RUE DE MONTYON;75009;Paris 9e  Arrondissement;Satisfaisant;48.873043, 2.344009;83523880900015;2018-12-04T01:00:00+01:00;18-089145-1;;Autres
Restaurant;Restaurant;LE RELAIS DE PARIS;CAP ROUSSILLON;66600;Rivesaltes;Satisfaisant;42.765673, 2.868549;83867916500020;2019-05-07T02:00:00+02:00;19-018952-1;;Autres
Restaurant;Restaurant;LE CHASSEEN;6 RUE CROZATIER;75012;Paris 12e  Arrondissement;Satisfaisant;48.845522, 2.382895;84315135800010;2019-03-20T01:00:00+01:00;19-028212-1;;Autres
Restaurant;Restaurant;LATIN FRANCHISE;101 PORTE BERGER;75001;Paris 1er Arrondissement;Satisfaisant;48.861315, 2.346634;62201334000071;2019-07-11T02:00:00+02:00;19-063949-1;;Autres
Restaurant;Restaurant;TRISTAN OURSEL SARL - QUENTIN P'TIT CREUX;LA COUTURE PEPIN;27930;Sacquenville;Très satisfaisant;48.832458, 2.287283;49420451400017;2019-04-29T02:00:00+02:00;19-044810-1;;Autres
Restaurant;Restaurant;NOVOLUSO;644 RUE HECTOR BERLIOZ;01480;Beauregard;Satisfaisant;45.998075, 4.751976;79272019500017;2019-07-10T02:00:00+02:00;19-066800-1;;Autres
Restaurant;Restaurant;KAZERTA 94;34 AVENUE DU GENERAL DE GAULLE;94500;Champigny-sur-Marne;Satisfaisant;48.820966, 2.487816;83471856100014;2019-01-08T01:00:00+01:00;18-094261-1;;Autres
Restaurant;Restaurant;THAI YIM 2;70 RUE DU CHATEAU DES RENTIERS;75013;Paris 13e  Arrondissement;Satisfaisant;48.826445, 2.36913;83127117600016;2019-03-06T01:00:00+01:00;19-024532-1;;Autres
Restaurant;Restaurant;BAR-RESTAURANT DU STADE;22, rue de ST Malo;50200;Coutances;Très satisfaisant;49.051741, -1.453637;41292328600014;2018-09-27T02:00:00+02:00;18-029692-1;;Autres
Restaurant;Restaurant;RESTAURANT LE LOTUS BLEU;14 RUE RENE CASSIN;84400;Apt;Satisfaisant;43.874841, 5.396633;51059795800014;2019-02-21T01:00:00+01:00;19-020968-1;;Autres
Restaurant;Restaurant;MLSL MORAIS;6 RUE MICHEL CHASLES;75012;Paris 12e  Arrondissement;Satisfaisant;48.846592, 2.374014;83973709500027;2019-02-18T01:00:00+01:00;19-016527-1;;Autres
Restaurant;Restaurant;ESR DELICE;7 PORTE DES PRINCES;84350;Courthézon;Très satisfaisant;44.085547, 4.882237;44906708100033;2018-09-26T02:00:00+02:00;18-072841-1;;Autres
Restaurant;Restaurant;PIZZA HUT;58 RUE JEANNE D ARC;54000;Nancy;Très satisfaisant;48.686057, 6.171583;75145137800036;2019-05-16T02:00:00+02:00;19-061470-1;;Autres
Restaurant;Restaurant;LP PIZZA;182 AVENUE DU 14 JUILLET;76300;Sotteville-lès-Rouen;Très satisfaisant;49.410628, 1.079273;83390938500019;2019-04-04T02:00:00+02:00;19-035431-1;;Autres
Restaurant;Restaurant;O DEL'ICES;29 RUE THIERS;47190;Aiguillon;Satisfaisant;44.300825, 0.338055;82366417200017;2018-12-18T01:00:00+01:00;18-093295-1;;Autres
Restaurant;Restaurant;VANITORIA;VANITORIA;16800;Soyaux;Très satisfaisant;45.640266, 0.19706;43803958800027;2019-01-16T01:00:00+01:00;19-002680-1;;Autres
Restaurant;Restaurant;LEVANTINE;36 RUE BICHAT;75010;Paris 10e  Arrondissement;Satisfaisant;48.871536, 2.368142;83405554300013;2019-01-14T01:00:00+01:00;19-002187-1;;Autres
Restaurant;Restaurant;SARL MARONNE JOUVE;22 AVENUE GAMBETTA;19110;Bort-les-Orgues;Satisfaisant;45.399992, 2.499547;83053292500021;2019-07-18T02:00:00+02:00;19-013664-1;;Autres
Restaurant;Restaurant;SUSHI WOK BUZZ;57 RUE BEAUNIER;75014;Paris 14e  Arrondissement;Satisfaisant;48.824593, 2.326265;84047170000012;2018-11-02T01:00:00+01:00;18-085421-1;;Autres
Restaurant;Restaurant;ORIGINES;RUE DU CLOS DE LA CHAUX;63500;Le Broc;Très satisfaisant;45.501443, 3.24364;83959831500019;2018-12-06T01:00:00+01:00;18-089872-1;;Autres
Restaurant;Restaurant;SANS ENSEIGNE USUELLE;;55100;Marre;A améliorer;49.211013, 5.30154;30080823500018;2019-03-29T01:00:00+01:00;18-061612-1;;Autres
Restaurant;Restaurant;LA NOUVELLE ETOILE;271 RUE DES PYRENEES;75020;Paris 20e  Arrondissement;A améliorer;48.867551, 2.396237;35385818600037;2019-06-21T02:00:00+02:00;19-057222-1;;Autres
Restaurant;Restaurant;LA BRASSERIE 23;AVENUE JEAN JAURES;23300;La Souterraine;Satisfaisant;46.238196, 1.478904;82955755200017;2018-12-12T01:00:00+01:00;18-091186-1;;Autres
Restaurant;Restaurant;RESTAURANT DU GOLF DE VICHY;Allée G Baugnies;03700;Bellerive-sur-Allier;Satisfaisant;46.123051, 3.406154;53955362800014;2018-09-11T02:00:00+02:00;18-031125-1;;Autres
Restaurant;Restaurant;LE XV BAR;205 RUE DE LA CROIX NIVERT;75015;Paris 15e  Arrondissement;Satisfaisant;48.83695, 2.289612;83023144500016;2019-02-01T01:00:00+01:00;19-007329-1;;Autres
Restaurant;Restaurant;A LA RAVARINE;LD LES RAVARINES;42660;Saint-Genest-Malifaux;Satisfaisant;45.361345, 4.454233;51316148900010;2019-01-18T01:00:00+01:00;19-003135-1;;Autres
Restaurant;Restaurant;ON THE BEACH;31 bis Digue de Mer;59240;Dunkerque;Satisfaisant;51.048581, 2.386493;49776682400013;2018-09-25T02:00:00+02:00;18-052494-1;;Autres
Restaurant;Restaurant;LA CREPERIE DES REMPARTS;LA CREPERIE DES REMPARTS;26120;Chabeuil;Satisfaisant;44.898669, 5.020003;53451260300018;2019-07-08T02:00:00+02:00;19-002674-1;;Autres
Restaurant;Restaurant;L'AUTHENTIQUE;167 RUE DE VAUGIRARD;75015;Paris 15e  Arrondissement;Très satisfaisant;48.843397, 2.314394;44133143600010;2018-11-12T01:00:00+01:00;18-084031-1;;Autres
Restaurant;Restaurant;CAFE DE LA BANQUE;237 RUE DU FAUBOURG SAINT MARTIN;75010;Paris 10e  Arrondissement;Satisfaisant;48.882313, 2.366424;80428332300017;2019-05-24T02:00:00+02:00;19-054232-1;;Autres
Restaurant;Restaurant;PAGE 35;4, RUE DU PARC ROYAL;75003;Paris 3e  Arrondissement;Satisfaisant;48.858386, 2.36385;45268944100015;2019-05-07T02:00:00+02:00;19-011595-1;;Autres
Restaurant;Restaurant;BIG BUDDHA;17 RUE BOIS LE VENT;75016;Paris 16e  Arrondissement;Satisfaisant;48.857598, 2.275435;81497848200010;2019-04-29T02:00:00+02:00;19-015329-1;;Autres
Restaurant;Restaurant;LE YANGTSE;106 RUE SAINT CHARLES;75015;Paris 15e  Arrondissement;Satisfaisant;48.84515, 2.284148;82445669300012;2019-07-09T02:00:00+02:00;19-063000-1;;Autres
Restaurant;Restaurant;CHEZ MARIE-LINE;Rue de la balance;97129;Lamentin;Satisfaisant;16.266653, -61.634379;49938893200018;2019-02-05T01:00:00+01:00;18-082497-1;;Autres
Restaurant;Restaurant;MONSIEUR CHENG RAYMOND;3, place Jules Verne;13002;Marseille 2e  Arrondissement;Satisfaisant;43.296617, 5.368543;30582343700010;2018-09-20T02:00:00+02:00;18-010759-1;;Autres
Restaurant;Restaurant;LA PASTA FAMILY;CENTRE COMMERCIAL NACARAT;63100;Clermont-Ferrand;Satisfaisant;45.793554, 3.115281;80741469300018;2019-02-05T01:00:00+01:00;19-008366-1;;Autres
Restaurant;Restaurant;PIZZA FOLIES;64 GRANDE RUE;67110;Gundershoffen;Satisfaisant;48.908281, 7.657852;82239493800010;2018-09-13T02:00:00+02:00;18-072128-1;;Autres
Restaurant;Restaurant;JOURS DE FETE;72 QUAI DE JEMMAPES;75010;Paris 10e  Arrondissement;Satisfaisant;48.871467, 2.365689;50295623800013;2018-12-21T01:00:00+01:00;18-093878-1;;Autres
Restaurant;Restaurant;L'EXPRESS DU MIDI;ZVENUE DU 11 NOVEMBRE;84703;Sorgues;Très satisfaisant;;40374758700034;2019-03-12T01:00:00+01:00;19-024990-1;;Autres
Restaurant;Restaurant;MAS;12 QUAI PAUL CUNQ;34250;Palavas-les-Flots;Satisfaisant;43.527972, 3.930763;82899008500015;2019-05-16T02:00:00+02:00;19-045623-1;;Autres
Restaurant;Restaurant;HOTEL RESTAURANT GARCON CORINE;CHEZ MANOLIA;97316;Papaichton;A améliorer;;42179276300011;2018-12-20T01:00:00+01:00;18-096009-1;;Autres
Restaurant;Restaurant;L'OENOSTERIA;40 RUE GREGOIRE DE TOURS;75006;Paris 6e  Arrondissement;Satisfaisant;48.852126, 2.337448;50764074600032;2019-07-29T02:00:00+02:00;19-069151-1;;Autres
Restaurant;Restaurant;CHEZ GUY RESTAURANT;3, place de la mairie;21220;Gevrey-Chambertin;Satisfaisant;47.22607, 4.969284;42263601900016;2019-02-26T01:00:00+01:00;19-030944-1;;Autres
Restaurant;Restaurant;L'ARGENTIERE;route de Niort;79500;Saint-Martin-lès-Melle;Très satisfaisant;46.225559, -0.155767;33768749500016;2019-03-07T01:00:00+01:00;19-033191-1;;Autres
Restaurant;Restaurant;TI POISSON LA;plage de la perle;97126;Deshaies;Satisfaisant;16.34425, -61.774088;41790180800028;2019-07-16T02:00:00+02:00;19-065047-1;;Autres
Restaurant;Restaurant;PANNIER TRAITEUR;2 RUE MARX DORMOY;93330;Neuilly-sur-Marne;A corriger de manière urgente;48.854095, 2.532795;41766781300022;2018-09-06T02:00:00+02:00;18-066625-1;;Autres
Restaurant;Restaurant;LE COOKS;43 RUE GENERAL DE GAULE;57050;Longeville-lès-Metz;Très satisfaisant;49.112584, 6.134997;51791130100011;2018-09-06T02:00:00+02:00;18-066689-1;;Autres
Restaurant;Restaurant;LE DYNASTIE LANGON;MOLEON;33210;Langon;Satisfaisant;44.543122, -0.253692;49391799100017;2019-07-10T02:00:00+02:00;19-064580-1;;Autres
Restaurant;Restaurant;JIA LE;16 RUE BOIS LE VENT;75016;Paris 16e  Arrondissement;Satisfaisant;48.857664, 2.276307;49797150700015;2019-02-19T01:00:00+01:00;19-016068-1;;Autres
Restaurant;Restaurant;LE ZINNEKE;23 RUE PORTE AU BERGER;14000;Caen;A améliorer;49.185422, -0.359941;83805165400013;2019-05-15T02:00:00+02:00;19-046745-1;;Autres
Restaurant;Restaurant;LE MIRAJ;6 RUE LEON JOLLY;51120;Sézanne;Très satisfaisant;48.723445, 3.721425;83272231800017;2018-09-18T02:00:00+02:00;18-070610-1;;Autres
Restaurant;Restaurant;LE TOURNY;1, Rue Tourny;24200;Sarlat-la-Canéda;Satisfaisant;44.888501, 1.216575;48061122700012;2019-07-24T02:00:00+02:00;19-067983-1;;Autres
Restaurant;Restaurant;L'AUBERGE CAFE;L'AUBERGE CAFE;75001;Paris 1er Arrondissement;Satisfaisant;;80506575200018;2019-02-19T01:00:00+01:00;19-016251-1;;Autres
Restaurant;Restaurant;BENZIANE;2 RUE DU PRESIDENT DESPATYS;77000;Melun;A améliorer;48.54193, 2.65594;83792234300012;2019-05-22T02:00:00+02:00;19-048483-1;;Autres
Restaurant;Restaurant;BAROQUE CAFE;17 AVENUE CARNOT;30100;Alès;Satisfaisant;44.121374, 4.082973;80891083000021;2019-05-30T02:00:00+02:00;19-009753-1;;Autres
Restaurant;Restaurant;BATAILLE Charles (Chocolatier, bar à chocolat);14 Bld bansard des bois;61130;Bellême;Très satisfaisant;48.375107, 0.56126;34849940100035;2019-01-10T01:00:00+01:00;19-001369-1;;Autres
Restaurant;Restaurant;LA GALUPE;;40000;Mont-de-Marsan;Satisfaisant;43.889563, -0.501576;53123228800039;2018-12-14T01:00:00+01:00;18-092853-1;;Autres
Restaurant;Restaurant;MARRAKECH;26 RUE MARIE DAVY;58500;Clamecy;Satisfaisant;47.460048, 3.521179;82168163200013;2019-02-05T01:00:00+01:00;19-008349-1;;Autres
Restaurant;Restaurant;ARCHIBAR;13 B RUE CAMPAGNE PREMIERE;75014;Paris 14e  Arrondissement;Satisfaisant;48.839857, 2.332807;83114717800022;2019-07-23T02:00:00+02:00;19-067343-1;;Autres
Restaurant;Restaurant;U BISTROTELLU;BOULEVARD LOUIS CAMPI;20090;Ajaccio;Très satisfaisant;41.942812, 8.755127;44148301300047;2019-08-02T02:00:00+02:00;19-071082-1;;Autres
Restaurant;Restaurant;AU BON COIN;22 RUE ST LOUIS;17000;La Rochelle;Très satisfaisant;46.161765, -1.145433;49258697900014;2019-07-05T02:00:00+02:00;19-061395-1;;Autres
Restaurant;Restaurant;LE NOUVEAU CARILLON;97 AV PHILIPPE AUGUSTE;75011;Paris 11e  Arrondissement;Satisfaisant;48.855919, 2.391001;83881382200015;2018-12-27T01:00:00+01:00;18-093597-1;;Autres
Restaurant;Restaurant;VILLA EUGENIE;167 RUE DE ROME;75017;Paris 17e  Arrondissement;Satisfaisant;48.887173, 2.314262;38808301600138;2018-11-09T01:00:00+01:00;18-085397-1;;Autres
Restaurant;Restaurant;HOTEL BEAUNIER;31 RUE BEAUNIER;75014;Paris 14e  Arrondissement;Satisfaisant;48.824294, 2.328903;51307879000013;2019-04-25T02:00:00+02:00;19-045375-1;;Autres
Restaurant;Restaurant;SAS YIDO;54 AVENUE EMILE ZOLA;75015;Paris 15e  Arrondissement;Satisfaisant;48.846324, 2.283492;83459816100026;2019-01-16T01:00:00+01:00;19-002295-1;;Autres
Restaurant;Restaurant;LE SARRASIN;33 RUE DU GENERAL DE GAULLE;70400;Héricourt;Satisfaisant;47.5755, 6.75883;82071224800013;2018-09-19T02:00:00+02:00;18-071216-1;;Autres
Restaurant;Restaurant;LA CREPERIE;17 RUE DES OEILLETS;66700;Argelès-sur-Mer;Satisfaisant;42.552138, 3.046771;82392075600017;2019-06-12T02:00:00+02:00;18-097431-1;;Autres
Restaurant;Restaurant;YING BIN;YING BIN;97400;Saint-Denis;Satisfaisant;-20.887979, 55.449145;51297353800014;2019-03-11T01:00:00+01:00;18-096756-1;;Autres
Restaurant;Restaurant;CAFE DE L'EGLISE;29 RUE ETIENNE DOLET;18100;Vierzon;Satisfaisant;47.213765, 2.101601;83258442900019;2018-09-25T02:00:00+02:00;18-072681-1;;Autres
Restaurant;Restaurant;LA DOUZAINE;12 RUE GERANDO;75009;Paris 9e  Arrondissement;Très satisfaisant;48.882571, 2.346113;49042756400029;2019-01-31T01:00:00+01:00;19-007281-1;;Autres
Restaurant;Restaurant;COMME CHEZ SOI;42 RUE DES ROSIERS;58700;Prémery;Satisfaisant;47.182097, 3.346649;31967872800027;2018-08-31T02:00:00+02:00;18-066997-1;;Autres
Restaurant;Restaurant;SUBWAY;SUBWAY;59910;Bondues;Très satisfaisant;50.701539, 3.091843;79400162800021;2019-05-22T02:00:00+02:00;19-047101-1;;Autres
Restaurant;Restaurant;LA PALOMBIERE;Route de Sault;84390;Saint-Christol;Très satisfaisant;44.032355, 5.492097;34754967700032;2019-04-11T02:00:00+02:00;19-039784-1;;Autres
Restaurant;Restaurant;LE SAINT CERF;2 RUE LEMERCIER;75017;Paris 17e  Arrondissement;Satisfaisant;48.885367, 2.325325;83268418700020;2018-09-12T02:00:00+02:00;18-072169-1;;Autres
Restaurant;Restaurant;LE BON ZEPHIR;1 RUE DU JOURDAIN;75020;Paris 20e  Arrondissement;Très satisfaisant;48.873882, 2.389475;82404902700017;2018-11-20T01:00:00+01:00;18-088944-1;;Autres
Restaurant;Restaurant;BERNIE CAFE;BERNIE CAFE;44210;Pornic;A améliorer;;52867213200024;2019-07-23T02:00:00+02:00;19-069168-1;;Autres
Restaurant;Restaurant;LE PAVILLON CELESTE;116 BIS RUE DE PARIS;94220;Charenton-le-Pont;Très satisfaisant;48.825892, 2.407152;50145452400015;2019-06-21T02:00:00+02:00;19-056291-1;;Autres
Restaurant;Restaurant;MAMIE M'A DIT;22 PLACE DE CHAMBRE;57000;Metz;Satisfaisant;49.119798, 6.173;35086569700063;2018-12-10T01:00:00+01:00;18-090746-1;;Autres
Restaurant;Restaurant;BAGELCORNER;66 AVENUE DES GOBELINS;75013;Paris 13e  Arrondissement;Très satisfaisant;48.832997, 2.354175;81150767200012;2019-02-01T01:00:00+01:00;19-025268-1;;Autres
Restaurant;Restaurant;LE TACOS;3 PLACE DES CORDELIERS;07100;Annonay;Satisfaisant;45.24016, 4.672506;84028247900012;2019-07-04T02:00:00+02:00;19-020748-1;;Autres
Restaurant;Restaurant;PATACCA;3 PLACE LEON BLUM;75011;Paris 11e  Arrondissement;Très satisfaisant;48.857742, 2.379394;56203400900018;2019-01-15T01:00:00+01:00;19-002090-1;;Autres
Restaurant;Restaurant;LE BAR PARISIEN;9, Rue Porte Lucas;51200;Épernay;Très satisfaisant;49.044803, 3.954114;44383078100029;2018-11-05T01:00:00+01:00;18-084707-1;;Autres
Restaurant;Restaurant;Il Passeggero;3 Bd Roi Jerome;20000;Ajaccio;Très satisfaisant;41.920229, 8.738296;48873219900010;2019-07-31T02:00:00+02:00;19-070421-1;;Autres
Restaurant;Restaurant;SHEM'S FOOD;3 RUE JULES JUILLET;60100;Creil;Satisfaisant;49.264453, 2.472893;83965723600015;2018-12-19T01:00:00+01:00;18-093049-1;;Autres
Restaurant;Restaurant;BLUE MARNING;BLUE MARNING;94170;Le Perreux-sur-Marne;Très satisfaisant;48.842698, 2.506449;48948709000016;2019-03-06T01:00:00+01:00;19-023014-1;;Autres
Restaurant;Restaurant;AKSHAYA;68 RUE DES DAMES;75017;Paris 17e  Arrondissement;Très satisfaisant;48.883518, 2.31992;79328982800022;2018-10-29T01:00:00+01:00;18-085951-1;;Autres
Restaurant;Restaurant;LES PETITES CANAILLES;80 RUE AMELOT;75011;Paris 11e  Arrondissement;Satisfaisant;48.860713, 2.367916;75350501500028;2019-02-05T01:00:00+01:00;18-095999-1;;Autres
Restaurant;Restaurant;LA TERRASSE DU CRESTET;LD LA PLACETTE;84110;Crestet;A améliorer;44.216454, 5.08372;84998115400016;2019-07-02T02:00:00+02:00;19-060144-1;;Autres
Restaurant;Restaurant;LA TOUR DE MONTLHERY;5, RUE DES PROUVAIRES;75001;Paris 1er Arrondissement;Très satisfaisant;48.861503, 2.344076;66111059300018;2018-12-04T01:00:00+01:00;18-089410-1;;Autres
Restaurant;Restaurant;MC DONALD'S;Route de Rochefort;17690;Angoulins;Très satisfaisant;46.104738, -1.118179;40336585100027;2018-09-12T02:00:00+02:00;18-021514-1;;Autres
Restaurant;Restaurant;COTE TERRASSE;2 PL DU 8 MAI 1945;83830;Claviers;A améliorer;43.60148, 6.562509;82479695700010;2019-07-09T02:00:00+02:00;19-062949-1;;Autres
Restaurant;Restaurant;KIKWEL;78 QUAI SAINTE CATHERINE;14600;Honfleur;Satisfaisant;49.419898, 0.232146;83457573000017;2018-10-26T02:00:00+02:00;18-083086-1;;Autres
Restaurant;Restaurant;FRANCOIS JACQUET CRETIDES ELISABETH;21 RESIDENCE LES ARLEQUINS;97118;Saint-François;Satisfaisant;16.264285, -61.276183;49759065300034;2019-04-02T02:00:00+02:00;19-042013-1;;Autres
Restaurant;Restaurant;AUBERGE PYRENEES CEVENNES;106 RUE DE LA FOLIE MERICOURT;75011;Paris 11e  Arrondissement;Satisfaisant;48.867863, 2.36878;41901890800014;2019-04-09T02:00:00+02:00;19-034590-1;;Autres
Restaurant;Restaurant;LE COMPTOIR;9 PL DES HALLES;16360;Baignes-Sainte-Radegonde;Satisfaisant;45.384471, -0.236777;80375685700014;2019-08-01T02:00:00+02:00;19-055119-1;;Autres
Restaurant;Restaurant;EXPRESS GRILL 123;Le bourg;97123;Baillif;A corriger de manière urgente;16.021584, -61.735261;44341448700019;2019-03-18T01:00:00+01:00;18-082332-1;;Autres
Restaurant;Restaurant;LE CHUTNEY;30 RUE DES BUISSONS;93290;Tremblay-en-France;Très satisfaisant;48.991044, 2.524032;79778867600014;2018-11-13T01:00:00+01:00;18-086557-1;;Autres
Restaurant;Restaurant;LE CHAUDRON MAGIQUE;1, place de la Carrière;22510;Moncontour;Très satisfaisant;48.360277, -2.633959;41245360700019;2019-03-20T01:00:00+01:00;19-029396-1;;Autres
Restaurant;Restaurant;LES RAMANDES;15 RTE DES DILIGENCES;19320;Marcillac-la-Croisille;Très satisfaisant;45.273428, 2.032153;82947789200014;2019-07-29T02:00:00+02:00;19-013714-1;;Autres
Restaurant;Restaurant;LE LISBOA;80,  Avenue Bollée;72000;Le Mans;Satisfaisant;48.001327, 0.210164;79260837400015;2018-11-23T01:00:00+01:00;18-029543-1;;Autres
Restaurant;Restaurant;A LA MAISON;147 RUE PIERRE MAUROY;59800;Lille;Satisfaisant;50.633413, 3.068144;81959920000014;2018-08-28T02:00:00+02:00;18-070595-1;;Autres
Restaurant;Restaurant;CREPERIE DU VIGAN;20 LICES GEORGES POMPIDOU;81000;Albi;Satisfaisant;43.927705, 2.147765;82383752100017;2019-02-01T01:00:00+01:00;18-095915-1;;Autres
Restaurant;Restaurant;CHEZ HELIN;120 RUE JEAN JACQUES ROUSSEAU;33500;Libourne;Satisfaisant;44.9143, -0.241822;81972430300014;2019-07-30T02:00:00+02:00;19-006517-1;;Autres
Restaurant;Restaurant;AIRE ONA;1 RUE DU DOCTEUR GOUJON;75012;Paris 12e  Arrondissement;Très satisfaisant;48.839811, 2.397567;48753127900023;2019-06-24T02:00:00+02:00;19-057791-1;;Autres
Restaurant;Restaurant;ROGER JULIEN;3 RUE DENIS DIDEROT;62300;Lens;Satisfaisant;50.429539, 2.833844;83412677300011;2018-12-06T01:00:00+01:00;18-089917-1;;Autres
Restaurant;Restaurant;CITADINES;14 RUE CHALIGNY;75012;Paris 12e  Arrondissement;Très satisfaisant;48.846202, 2.383793;31112727800431;2019-03-13T01:00:00+01:00;19-026396-1;;Autres
Restaurant;Restaurant;LOCOBIO;10 PL DU FEU;24100;Bergerac;Très satisfaisant;44.849676, 0.483495;85021762100018;2019-07-16T02:00:00+02:00;19-069682-1;;Autres
Restaurant;Restaurant;OSAKA;OSAKA;93340;Le Raincy;Satisfaisant;48.898453, 2.522604;49143877600016;2018-09-27T02:00:00+02:00;18-073376-1;;Autres
Restaurant;Restaurant;HOTEL DE L'EUROPE;11 PLACE DU BARRY;48100;Marvejols;Satisfaisant;44.552807, 3.293095;50406829700010;2019-08-02T02:00:00+02:00;19-071056-1;;Autres
Restaurant;Restaurant;CHE LUZ;CHE LUZ;56410;Étel;Satisfaisant;47.660219, -3.203649;80282870700017;2018-08-29T02:00:00+02:00;18-004571-1;;Autres
Restaurant;Restaurant;NOMICOS;16, AVENUE BUGEAUD;75016;Paris 16e  Arrondissement;Très satisfaisant;48.870247, 2.283073;52814106200018;2018-12-05T01:00:00+01:00;18-089241-1;;Autres
Restaurant;Restaurant;LE SANCERRE;35 RUE DES ABBESSES;75018;Paris 18e  Arrondissement;Satisfaisant;48.884996, 2.336941;79322886700024;2018-12-18T01:00:00+01:00;18-093863-1;;Autres
Restaurant;Restaurant;LE CROC'O;CTRE COMMERCIAL;97100;Basse-Terre;Satisfaisant;16.000245, -61.718644;79149582300019;2019-05-23T02:00:00+02:00;19-049832-1;;Autres
Restaurant;Restaurant;BOUGRE DE BURGER;17 RUE D HAUTEVILLE;75010;Paris 10e  Arrondissement;Très satisfaisant;48.872556, 2.350084;82154770000020;2019-01-03T01:00:00+01:00;19-000388-1;;Autres
Restaurant;Restaurant;BISTRO DE LA BANQUE;15 RUE ROUGEMONT;75009;Paris 9e  Arrondissement;A améliorer;48.872238, 2.345848;49313873900013;2019-03-28T01:00:00+01:00;19-031267-1;;Autres
Restaurant;Restaurant;ANTEP SOFRASI;36 RUE DU FBG SAINT DENIS;75010;Paris 10e  Arrondissement;Satisfaisant;48.871178, 2.353538;50204042100013;2019-07-04T02:00:00+02:00;19-061876-1;;Autres
Restaurant;Restaurant;QUICK;1 RUE DE SULLY;28000;Chartres;Très satisfaisant;48.45108, 1.521191;45192073000020;2019-02-28T01:00:00+01:00;19-021098-1;;Autres
Restaurant;Restaurant;AU COEUR DE TUNIS;14 AVENUE DES MINIMES;31200;Toulouse;Satisfaisant;43.616768, 1.437212;51299865900035;2019-03-11T01:00:00+01:00;19-024748-1;;Autres
Restaurant;Restaurant;CINQ FOIS PLUS DE DE PIMENT;2 RUE BERNARD DE CLAIRVAUX;75003;Paris 3e  Arrondissement;Satisfaisant;48.862334, 2.352175;82418750400017;2019-01-11T01:00:00+01:00;19-001966-1;;Autres
Restaurant;Restaurant;LE REZ DE CHAUSSEE;10 RUE SORBIER;75020;Paris 20e  Arrondissement;Satisfaisant;48.86807, 2.389943;50982043700010;2019-06-03T02:00:00+02:00;19-052247-1;;Autres
Restaurant;Restaurant;SARL FERME AUBERGE CHEVREMONT;;68370;Orbey;Satisfaisant;48.126194, 7.160415;43779647700010;2019-07-01T02:00:00+02:00;19-061372-1;;Autres
Restaurant;Restaurant;GALEXY GRILL;LES MARAGOLLES;54720;Lexy;Très satisfaisant;49.5139, 5.731227;83122176700013;2018-11-29T01:00:00+01:00;18-088177-1;;Autres
Restaurant;Restaurant;LA DOLCE VITA;22 RUE JEAN JAURES;56530;Quéven;Satisfaisant;47.788619, -3.41619;40029182900028;2019-01-23T01:00:00+01:00;19-000807-1;;Autres
Restaurant;Restaurant;YUWIKI SUSHI;YUWIKI SUSHI;59139;Wattignies;Satisfaisant;50.584902, 3.042291;75169291400011;2019-01-10T01:00:00+01:00;18-094570-1;;Autres
Restaurant;Restaurant;SUSHI FOLIE'S;4 Place du 18 Juin 1940;75006;Paris 6e  Arrondissement;Satisfaisant;48.844294, 2.323904;53375277000024;2018-12-18T01:00:00+01:00;18-092604-1;;Autres
Restaurant;Restaurant;LE PETIT TROQUET;2 RUE SABLEE;47180;Couthures-sur-Garonne;Satisfaisant;44.513751, 0.078254;39965647900058;2019-07-10T02:00:00+02:00;18-097618-1;;Autres
Restaurant;Restaurant;LES ARCADES;19 RUE SAINT JACQUES;59300;Valenciennes;Satisfaisant;50.359861, 3.521278;31026950100014;2019-07-17T02:00:00+02:00;19-050078-1;;Autres
Restaurant;Restaurant;LE 21 GOURMAND;21 RUE FONDESPAN;33430;Bazas;Satisfaisant;44.431579, -0.212897;82008604900013;2018-10-10T02:00:00+02:00;18-013125-1;;Autres
Restaurant;Restaurant;LE MILLESIME;1 RUE TRAVERSIERE;21220;Chambolle-Musigny;Très satisfaisant;47.185803, 4.950272;45366047400017;2019-01-15T01:00:00+01:00;19-002052-1;;Autres
Restaurant;Restaurant;WILLIN'GAM PUB;10 PL DE LA REPUBLIQUE;72150;Le Grand-Lucé;Satisfaisant;47.864914, 0.469872;80029235100015;2018-12-14T01:00:00+01:00;18-091569-1;;Autres
Restaurant;Restaurant;LE PAIN QUOTIDIEN;33 RUE VIVIENNE;75002;Paris 2e  Arrondissement;Satisfaisant;48.870066, 2.34062;43219668100014;2019-01-04T01:00:00+01:00;19-000583-1;;Autres
Restaurant;Restaurant;RESTAURANT HOTEL LEON DE BRUXELLES;HOLIDAY INN THOIRY-GENEVE AEROPORT;01710;Thoiry;Très satisfaisant;;78970639700021;2018-09-04T02:00:00+02:00;18-068756-1;;Autres
