filtre;APP_Libelle_activite_etablissement;APP_Libelle_etablissement;ods_adresse;Code_postal;Libelle_commune;Synthese_eval_sanit;geores;SIRET;Date_inspection;Numero_inspection;Agrement;ods_type_activite
Restaurant;Restaurant;RESTAURANT MOÏ  -  SARL SUSHI KIM;5 RUE DAUNOU;75002;Paris;Satisfaisant;48.869255, 2.332096;50416607500011;2018-09-20T02:00:00+02:00;18-072046-1;;Autres
Restaurant;Restaurant;BOMBAY CURRY;103 RUE DE MONTREUIL;75011;Paris 11e  Arrondissement;Satisfaisant;48.850693, 2.394351;83793426400016;2019-01-23T01:00:00+01:00;19-004100-1;;Autres
Restaurant;Restaurant;SARL L'ECLUSE;chemin Augustin;31320;Castanet-Tolosan;Satisfaisant;43.519852, 1.515488;49282856100018;2019-08-05T02:00:00+02:00;19-071766-1;;Autres
Restaurant;Restaurant;L OMELETTARIA;L OMELETTARIA;24100;Bergerac;Satisfaisant;44.856458, 0.476339;53139903800029;2018-08-27T02:00:00+02:00;18-069857-1;;Autres
Restaurant;Restaurant;LE REGALE;LE REGALE;59500;Douai;Satisfaisant;50.377393, 3.067364;80211632700015;2018-12-13T01:00:00+01:00;18-092283-1;;Autres
Restaurant;Restaurant;SARL-CAFE-DES SPORTS;SARL-CAFE-DES SPORTS;73240;Saint-Genix-sur-Guiers;Satisfaisant;45.59904, 5.631804;53362276700010;2019-07-10T02:00:00+02:00;19-066580-1;;Autres
Restaurant;Restaurant;PACHA;57 AVENUE DE LA DIVISION LECLERC;93350;Le Bourget;Très satisfaisant;48.934064, 2.424749;82012525000010;2019-04-11T02:00:00+02:00;19-036741-1;;Autres
Restaurant;Restaurant;LE GRAND COMPTOIR;Unité de Production 930118;33800;Bordeaux;Très satisfaisant;;53468169700262;2018-09-13T02:00:00+02:00;18-072949-1;;Autres
Restaurant;Restaurant;DELICES SAINT MARCEL;55 BOULEVARD SAINT MARCEL;75013;Paris 13e  Arrondissement;Satisfaisant;48.837713, 2.355437;82234163200013;2019-05-16T02:00:00+02:00;19-046562-1;;Autres
Restaurant;Restaurant;EURL GIMY 4;18, rue Thiers;17000;La Rochelle;Très satisfaisant;46.161359, -1.14853;81038238200010;2019-07-05T02:00:00+02:00;19-061414-1;;Autres
Restaurant;Restaurant;DOLCE DINAPOLI PIZZA;130 RTE NATIONALE;45140;Ingré;Satisfaisant;47.926599, 1.843821;79376954800017;2019-03-28T01:00:00+01:00;19-032896-1;;Autres
Restaurant;Restaurant;L'ENTRACTE;57 RUE DE LA ROQUETTE;75011;Paris 11e  Arrondissement;Satisfaisant;48.856058, 2.375651;84418783100012;2019-07-18T02:00:00+02:00;19-066336-1;;Autres
Restaurant;Restaurant;LE LIBERTY;GAL MARCHANDE CARREFOUR;59300;Aulnoy-lez-Valenciennes;Satisfaisant;50.336132, 3.516716;44039702400017;2019-06-05T02:00:00+02:00;19-050983-1;;Autres
